33.767796789220824;-84.42060395000004;atlanta;hawks
42.35879625753466;-71.06169368322752;boston;celtics
40.6743432100785;-73.9395473012817;new york;nets
35.216840116896016;-80.83845565898434;charlotte;hornets
41.83401317282514;-87.73196395000002;chicago;bulls
41.49762022810319;-81.70585994999999;cleveland;cavaliers
42.33248584143959;-83.04427335937498;detroit;pistons
39.802226265922734;-86.16936537890625;indianapolis;pacers
25.76140641707182;-80.20336592070316;miami;heat
43.03094655391731;-87.9276046105469;milwakee;bucks
40.6743432100785;-73.9395473012817;new york;knicks
28.537970675122573;-81.38325538635253;orlando;magic
39.950014116106445;-75.16609813554686;philadelphia;76ers
43.64826317379681;-79.38264809570312;toronto;raptors
38.90382296905557;-77.04204182031253;washington dc;wizards
32.77587660880913;-96.79059396367188;dallas;mavericks
39.73887215116412;-105.00085195903318;denver;nuggets;
37.77373276523463;-122.41528402099613;san francisco;warriors
29.75563254033521;-95.36146601054689;houston;rockets
34.01424067930953;-118.25792390624997;los angeles;lakers
34.01424067930953;-118.25792390624997;los angeles;clippers
35.147631317289616;-90.04305638969727;memphis;grizzlies
46.020246155142026;-94.52584128124998;minnesota;timberwolves
29.952257360717226;-90.07070431914065;new orleans;pelicans
35.465001397422256;-97.51821829072117;oklahoma;thunders
33.450298807762486;-112.06462619531248;phoenix;suns
45.51417530869402;-122.68120122480468;portland;trail blazers
38.565405711126424;-121.4937242675781;sacramento;kings
29.413592633585633;-98.4773255925781;san antonio;spurs
40.76048282795075;-111.91644328320307;salt lake city;jazz
